1,1,8
2,1,9
3,1,10
4,1,11
5,1,12
6,1,13
7,1,14
8,1,15
9,1,16
10,1,17
11,1,18
12,1,19
13,1,20
21,2,8
22,2,9
23,2,10
24,2,11
25,2,12
26,2,13
27,2,14
28,2,15
29,2,16
30,2,17
31,2,18
32,2,19
33,2,20
41,3,8
42,3,9
43,3,10
44,3,11
45,3,12
46,3,13
47,3,14
48,3,15
49,3,16
50,3,17
51,3,18
52,3,19
53,3,20
61,4,8
62,4,9
63,4,10
64,4,11
65,4,12
66,4,13
67,4,14
68,4,15
69,4,16
70,4,17
71,4,18
72,4,19
73,4,20
81,5,8
82,5,9
83,5,10
84,5,11
85,5,12
86,5,13
87,5,14
88,5,15
89,5,16
90,5,17
91,5,18
92,5,19
93,5,20
